concealed_level,concealed_fraction,split_seed,suite,prompt_count,sample_size_per_side,rejection_rate_alpha_0_05,fail_alpha_0_05,pvalue_mean,mmd_mean,aggregate_reject,eval_dir,row_type
100,1.0,2,ultrachat,20,200,0.68,True,0.050039999999999994,0.011702375742106298,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split002/level100,split
25,0.25,3,wikipedia_en,6,60,0.16,False,0.31303,0.009010906457651194,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split003/level025,split
25,0.25,3,humaneval,5,50,0.13,False,0.41735000000000005,0.011032305133039919,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split003/level025,split
25,0.25,3,ultrachat,5,50,0.2,False,0.20511999999999997,0.008247190362803436,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split003/level025,split
50,0.5,3,wikipedia_en,12,120,0.26,False,0.18533999999999998,0.010344405423658633,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split003/level050,split
50,0.5,3,humaneval,10,100,0.07,False,0.44637,0.007638723264285372,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split003/level050,split
50,0.5,3,ultrachat,10,100,0.46,False,0.09362999999999998,0.009627667844687843,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split003/level050,split
75,0.75,3,wikipedia_en,18,180,0.32,False,0.18641000000000002,0.008482547657104246,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split003/level075,split
75,0.75,3,humaneval,15,150,0.05,False,0.46692999999999996,0.002244223318212267,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split003/level075,split
75,0.75,3,ultrachat,15,150,0.58,True,0.08219000000000003,0.011768345681150465,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split003/level075,split
100,1.0,3,wikipedia_en,25,250,0.36,False,0.12505,0.008539777909072675,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split003/level100,split
100,1.0,3,humaneval,20,200,0.11,False,0.3874099999999999,0.01009406484100475,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split003/level100,split
100,1.0,3,ultrachat,20,200,0.78,True,0.04355,0.010656011809919817,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split003/level100,split
25,0.25,4,wikipedia_en,6,60,0.13,False,0.33733,0.008047623203199792,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split004/level025,split
25,0.25,4,humaneval,5,50,0.1,False,0.4244699999999999,0.011297545352717781,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split004/level025,split
25,0.25,4,ultrachat,5,50,0.32,False,0.18348999999999996,0.01225369857382055,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split004/level025,split
50,0.5,4,wikipedia_en,12,120,0.11,False,0.27024000000000004,0.007712602633716137,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split004/level050,split
50,0.5,4,humaneval,10,100,0.13,False,0.43184999999999996,0.007702256680626161,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split004/level050,split
50,0.5,4,ultrachat,10,100,0.36,False,0.16309,0.015386743470200361,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split004/level050,split
75,0.75,4,wikipedia_en,18,180,0.29,False,0.17900000000000002,0.009914701294577628,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split004/level075,split
75,0.75,4,humaneval,15,150,0.07,False,0.40731,0.007235650478949129,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split004/level075,split
75,0.75,4,ultrachat,15,150,0.5,True,0.1066,0.016709777693135263,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split004/level075,split
100,1.0,4,wikipedia_en,25,250,0.47,False,0.13942,0.00857121473468462,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split004/level100,split
100,1.0,4,humaneval,20,200,0.08,False,0.38724000000000003,0.007476122109904814,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split004/level100,split
100,1.0,4,ultrachat,20,200,0.72,True,0.07242,0.018496809188612646,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split004/level100,split
25,0.25,5,wikipedia_en,6,60,0.15,False,0.30215,0.007150238646315913,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split005/level025,split
25,0.25,5,humaneval,5,50,0.09,False,0.46312000000000003,0.006391395500898418,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split005/level025,split
25,0.25,5,ultrachat,5,50,0.29,False,0.17476000000000003,0.009560449897625682,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split005/level025,split
50,0.5,5,wikipedia_en,12,120,0.23,False,0.20973999999999995,0.009591010936255365,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split005/level050,split
50,0.5,5,humaneval,10,100,0.06,False,0.4356300000000001,0.004998894370452564,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split005/level050,split
50,0.5,5,ultrachat,10,100,0.58,True,0.08718,0.010352876034524451,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split005/level050,split
75,0.75,5,wikipedia_en,18,180,0.3,False,0.15564,0.009764916516714888,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split005/level075,split
75,0.75,5,humaneval,15,150,0.12,False,0.47705,0.0034756735405724135,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split005/level075,split
75,0.75,5,ultrachat,15,150,0.62,True,0.06899999999999999,0.01112206968819093,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split005/level075,split
100,1.0,5,wikipedia_en,25,250,0.38,False,0.14054,0.00903981380770407,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split005/level100,split
100,1.0,5,humaneval,20,200,0.07,False,0.40369999999999995,0.007551632009669132,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split005/level100,split
100,1.0,5,ultrachat,20,200,0.74,True,0.05201000000000001,0.010601105166876705,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split005/level100,split
25,0.25,6,wikipedia_en,6,60,0.15,False,0.28063000000000005,0.00822407844747279,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split006/level025,split
25,0.25,6,humaneval,5,50,0.05,False,0.48503,0.0024182882373861626,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split006/level025,split
25,0.25,6,ultrachat,5,50,0.18,False,0.21599999999999997,0.008265773280486378,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split006/level025,split
50,0.5,6,wikipedia_en,12,120,0.22,False,0.20082000000000005,0.009415272731779743,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split006/level050,split
50,0.5,6,humaneval,10,100,0.09,False,0.41653,0.008671452226039697,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split006/level050,split
50,0.5,6,ultrachat,10,100,0.42,False,0.10474,0.008974331501147662,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split006/level050,split
75,0.75,6,wikipedia_en,18,180,0.28,False,0.17153,0.008103000509240541,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split006/level075,split
75,0.75,6,humaneval,15,150,0.1,False,0.44052000000000013,0.004724895995953674,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split006/level075,split
75,0.75,6,ultrachat,15,150,0.54,True,0.07554999999999999,0.00840679900021424,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split006/level075,split
100,1.0,6,wikipedia_en,25,250,0.42,False,0.13261,0.008709384103398275,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split006/level100,split
100,1.0,6,humaneval,20,200,0.08,False,0.41252,0.006595827168890578,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split006/level100,split
100,1.0,6,ultrachat,20,200,0.67,True,0.05472,0.009133015187165394,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split006/level100,split
25,0.25,7,wikipedia_en,6,60,0.2,False,0.27193,0.008662319500188502,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split007/level025,split
25,0.25,7,humaneval,5,50,0.1,False,0.46837,0.00626246701388633,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split007/level025,split
25,0.25,7,ultrachat,5,50,0.33,False,0.24831,0.02526278136708336,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split007/level025,split
50,0.5,7,wikipedia_en,12,120,0.3,False,0.18891000000000002,0.008569062112487423,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split007/level050,split
50,0.5,7,humaneval,10,100,0.05,False,0.5059800000000001,0.00048410328819774697,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split007/level050,split
50,0.5,7,ultrachat,10,100,0.35,False,0.17162,0.015886818028143092,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split007/level050,split
75,0.75,7,wikipedia_en,18,180,0.35,False,0.15511,0.008487403090920947,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split007/level075,split
75,0.75,7,humaneval,15,150,0.1,False,0.42308999999999997,0.006903636692285766,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split007/level075,split
75,0.75,7,ultrachat,15,150,0.42,False,0.11644,0.013685373042380797,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split007/level075,split
100,1.0,7,wikipedia_en,25,250,0.36,False,0.13310000000000002,0.008653116670248573,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split007/level100,split
100,1.0,7,humaneval,20,200,0.12,False,0.39908999999999994,0.008252069493400372,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split007/level100,split
100,1.0,7,ultrachat,20,200,0.58,True,0.08061000000000001,0.013655390500194715,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split007/level100,split
25,0.25,8,wikipedia_en,6,60,0.13,False,0.27147000000000004,0.007667536972830223,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split008/level025,split
25,0.25,8,humaneval,5,50,0.08,False,0.4730700000000001,0.007450507993314366,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split008/level025,split
25,0.25,8,ultrachat,5,50,0.22,False,0.24414000000000002,0.012041858229055274,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split008/level025,split
50,0.5,8,wikipedia_en,12,120,0.18,False,0.18975,0.007501407430302031,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split008/level050,split
50,0.5,8,humaneval,10,100,0.08,False,0.3977399999999999,0.008107413549171447,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split008/level050,split
50,0.5,8,ultrachat,10,100,0.49,False,0.15349000000000002,0.01784269214497276,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split008/level050,split
75,0.75,8,wikipedia_en,18,180,0.26,False,0.15078,0.008269214152573943,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split008/level075,split
75,0.75,8,humaneval,15,150,0.05,False,0.44639,0.0030093625781596207,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split008/level075,split
75,0.75,8,ultrachat,15,150,0.46,False,0.12606,0.01725601188773868,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split008/level075,split
100,1.0,8,wikipedia_en,25,250,0.47,False,0.10731,0.008154409918150037,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split008/level100,split
100,1.0,8,humaneval,20,200,0.08,False,0.42042,0.006487246196834121,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split008/level100,split
100,1.0,8,ultrachat,20,200,0.57,True,0.07482,0.01736120241903207,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split008/level100,split
25,0.25,9,wikipedia_en,6,60,0.19,False,0.22651999999999997,0.01094839064090612,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split009/level025,split
25,0.25,9,humaneval,5,50,0.08,False,0.4252499999999999,0.010461167644652951,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split009/level025,split
25,0.25,9,ultrachat,5,50,0.3,False,0.16838999999999998,0.010875800303127766,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split009/level025,split
50,0.5,9,wikipedia_en,12,120,0.31,False,0.16929,0.009030849500960125,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split009/level050,split
50,0.5,9,humaneval,10,100,0.1,False,0.39582999999999996,0.011439058187158853,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split009/level050,split
50,0.5,9,ultrachat,10,100,0.43,False,0.09534,0.010588491017220925,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split009/level050,split
75,0.75,9,wikipedia_en,18,180,0.19,False,0.18874,0.0076849942510599685,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split009/level075,split
75,0.75,9,humaneval,15,150,0.01,False,0.48902999999999996,-0.00041788002061457887,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split009/level075,split
75,0.75,9,ultrachat,15,150,0.63,True,0.06570999999999999,0.010400939907665566,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split009/level075,split
100,1.0,9,wikipedia_en,25,250,0.49,False,0.13438,0.008549647226860385,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split009/level100,split
100,1.0,9,humaneval,20,200,0.08,False,0.426,0.006315045338404248,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split009/level100,split
100,1.0,9,ultrachat,20,200,0.52,True,0.09728000000000002,0.012656582406459234,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split009/level100,split
